2026-05-22 08:48:43 | INFO | test_end_to_end_flow.py:90 | Clicking Search Button
2026-05-22 08:48:48 | INFO | home_page.py:280 | Screenshot Attached To Allure Report: search_results_page
2026-05-22 08:48:49 | INFO | test_end_to_end_flow.py:107 | Results Heading: Property for Rent in Hyderabad
2026-05-22 08:49:02 | INFO | test_end_to_end_flow.py:114 | Initial Results Count: 10907
2026-05-22 08:49:02 | INFO | test_end_to_end_flow.py:122 | Handling Blocking Popups
2026-05-22 08:49:10 | INFO | test_end_to_end_flow.py:128 | Applying 2 BHK Filter
2026-05-22 08:49:19 | INFO | test_end_to_end_flow.py:136 | Applying Flat/Apartment Filter
2026-05-22 08:49:28 | INFO | test_end_to_end_flow.py:146 | Applying Owner Filter
2026-05-22 08:49:37 | INFO | test_end_to_end_flow.py:154 | Applying Single Men Filter
2026-05-22 08:49:46 | INFO | test_end_to_end_flow.py:166 | Applying Sort: Price Low To High
2026-05-22 08:49:56 | INFO | home_page.py:280 | Screenshot Attached To Allure Report: all_filters_applied
2026-05-22 08:49:56 | INFO | test_end_to_end_flow.py:186 | Verifying Filtered Results
2026-05-22 08:49:56 | INFO | test_end_to_end_flow.py:194 | Filtered Results Count: 3632
2026-05-22 08:49:56 | INFO | test_end_to_end_flow.py:203 | Selecting First Filtered Property
2026-05-22 08:50:04 | INFO | test_end_to_end_flow.py:216 | Switching To Property Window
2026-05-22 08:50:12 | INFO | home_page.py:280 | Screenshot Attached To Allure Report: property_details_page
2026-05-22 08:50:12 | INFO | test_end_to_end_flow.py:229 | Property Title: 2BHK 1Bath
Flat/Apartment for Rent
in Rajiv Sabgrahu, Nagole, Hyderabad
2026-05-22 08:50:12 | INFO | test_end_to_end_flow.py:233 | Rent Amount: 7000
2026-05-22 08:50:12 | INFO | test_end_to_end_flow.py:241 | Clicking Shortlist Button
2026-05-22 08:50:26 | INFO | home_page.py:280 | Screenshot Attached To Allure Report: shortlist_clicked
2026-05-22 08:50:33 | INFO | test_end_to_end_flow.py:254 | Opening Owner Details Section
2026-05-22 08:50:47 | INFO | test_end_to_end_flow.py:264 | Clicking View Phone Number
2026-05-22 08:51:01 | INFO | test_end_to_end_flow.py:274 | Verifying Contact Section
2026-05-22 08:51:18 | INFO | home_page.py:280 | Screenshot Attached To Allure Report: owner_details
2026-05-22 08:51:25 | INFO | test_end_to_end_flow.py:285 | End-to-End Property Flow Completed Successfully
2026-05-22 08:51:25 | INFO | conftest.py:73 | Closing Browser
2026-05-22 08:51:27 | INFO | conftest.py:77 | Browser Closed Successfully

2026-05-22 18:09:07 | INFO | conftest.py:43 | Launching Chrome Browser
2026-05-22 18:09:13 | INFO | conftest.py:68 | Navigated To 99acres Website
2026-05-22 18:09:13 | INFO | test_end_to_end_flow.py:33 | Hovering Profile Icon
2026-05-22 18:09:13 | INFO | test_end_to_end_flow.py:35 | Clicking Login/Register
2026-05-22 18:09:15 | INFO | home_page.py:280 | Screenshot Attached To Allure Report: login_popup
2026-05-22 18:09:15 | INFO | test_end_to_end_flow.py:38 | Entering Mobile Number
2026-05-22 18:09:16 | INFO | test_end_to_end_flow.py:40 | Clicking Continue
2026-05-22 18:09:17 | INFO | test_end_to_end_flow.py:42 | Waiting 20 seconds for manual OTP entry
2026-05-22 18:09:37 | INFO | test_end_to_end_flow.py:44 | Clicking Verify & Continue
2026-05-22 18:09:37 | INFO | home_page.py:280 | Screenshot Attached To Allure Report: login_screenshot
2026-05-22 18:09:37 | INFO | test_end_to_end_flow.py:47 | Login Successful
2026-05-22 18:09:56 | INFO | test_end_to_end_flow.py:54 | Clicking Rent Tab
2026-05-22 18:09:57 | INFO | test_end_to_end_flow.py:56 | Entering Location: Rent in Hyderabad
2026-05-22 18:09:58 | INFO | home_page.py:280 | Screenshot Attached To Allure Report: location_entered
2026-05-22 18:09:58 | INFO | test_end_to_end_flow.py:59 | Clicking Search Button
2026-05-22 18:10:02 | INFO | home_page.py:280 | Screenshot Attached To Allure Report: search_results_page
2026-05-22 18:10:02 | INFO | test_end_to_end_flow.py:72 | Results Heading: Property for Rent in Hyderabad
2026-05-22 18:10:17 | INFO | test_end_to_end_flow.py:76 | Initial Results Count: 10976
2026-05-22 18:10:17 | INFO | test_end_to_end_flow.py:80 | Handling Blocking Popups
2026-05-22 18:10:24 | INFO | test_end_to_end_flow.py:85 | Applying 2 BHK Filter
2026-05-22 18:10:32 | INFO | test_end_to_end_flow.py:91 | Applying Flat/Apartment Filter
2026-05-22 18:10:57 | INFO | conftest.py:73 | Closing Browser
2026-05-22 18:11:00 | INFO | conftest.py:77 | Browser Closed Successfully
