"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30225","Positive4: Verify property details page","","2026-05-23","passed","2026-05-23","","","",""
"","23745","Positive2: Verify 2 BHK filter","","2026-05-23","passed","2026-05-23","","","",""
"","14966","Positive3: Verify searched location is displayed in search bar","","2026-05-23","passed","2026-05-23","","","",""
"","191447","Complete end-to-end property search and owner contact flow","","2026-05-23","passed","2026-05-23","","","",""
"","14048","Positive1: Verify valid property search","","2026-05-23","passed","2026-05-23","","","",""
"","6130","Negative2:Verify empty location validation","","2026-05-23","passed","2026-05-23","","","",""
"","64446","Negative 1: Verify shortlist requires login","","2026-05-23","passed","2026-05-23","","","",""
